DATE,OUVERTURE_1,FERMETURE_1
2021-09-20,20:55:00,
2021-09-21,,00:55:00
2021-09-21,09:15:00,13:15:00
2021-09-21,21:30:00,
2021-09-22,,01:30:00
2021-09-22,09:50:00,13:50:00
2021-09-22,22:05:00,
2021-09-23,,02:05:00
2021-09-23,10:25:00,14:25:00
2021-09-23,22:40:00,
2021-09-24,,02:40:00
2021-09-24,10:55:00,14:55:00
2021-09-24,23:10:00,
2021-09-25,,03:10:00
2021-09-25,11:30:00,15:30:00
2021-09-25,23:45:00,
2021-09-26,,03:45:00
2021-09-26,12:00:00,16:00:00
2021-09-26,,
2021-09-27,00:15:00,04:15:00
2021-09-27,12:30:00,16:30:00
2021-09-27,,
2021-09-28,00:40:00,04:40:00
2021-09-28,12:55:00,16:55:00
2021-09-28,,
2021-09-29,01:30:00,04:30:00
2021-09-29,13:50:00,16:50:00
2021-09-29,,
2021-09-30,,
2021-09-30,03:00:00,06:00:00
2021-09-30,15:30:00,18:30:00
2021-10-01,,
2021-10-01,04:50:00,07:50:00
2021-10-01,17:10:00,20:10:00
2021-10-02,,
2021-10-02,06:10:00,10:10:00
2021-10-02,18:20:00,22:20:00
2021-10-03,,
2021-10-03,07:20:00,11:20:00
2021-10-03,19:20:00,23:20:00
2021-10-04,,
2021-10-04,07:55:00,11:55:00
2021-10-04,19:50:00,23:50:00
2021-10-05,,
2021-10-05,08:20:00,12:20:00
2021-10-05,20:25:00,
2021-10-06,,00:25:00
2021-10-06,08:50:00,12:50:00
2021-10-06,21:00:00,
2021-10-07,,01:00:00
2021-10-07,09:25:00,13:25:00
2021-10-07,21:35:00,
2021-10-08,,01:35:00
2021-10-08,10:00:00,14:00:00
2021-10-08,22:15:00,
2021-10-09,,02:15:00
2021-10-09,10:40:00,14:40:00
2021-10-09,23:00:00,
2021-10-10,,03:00:00
2021-10-10,11:25:00,15:25:00
2021-10-10,23:50:00,
2021-10-11,,03:50:00
2021-10-11,12:15:00,16:15:00
2021-10-11,,
2021-10-12,00:45:00,04:45:00
2021-10-12,13:15:00,17:15:00
2021-10-12,,
2021-10-13,01:55:00,05:55:00
2021-10-13,14:10:00,18:10:00
2021-10-13,,
2021-10-14,,
2021-10-14,03:15:00,07:15:00
2021-10-14,15:45:00,19:45:00
2021-10-15,,
2021-10-15,05:15:00,09:15:00
2021-10-15,17:20:00,21:20:00
2021-10-16,,
2021-10-16,06:50:00,10:50:00
2021-10-16,18:40:00,22:40:00
2021-10-17,,
2021-10-17,07:20:00,11:20:00
2021-10-17,19:20:00,23:20:00
2021-10-18,,
2021-10-18,07:45:00,11:45:00
2021-10-18,19:55:00,23:55:00
2021-10-19,,
2021-10-19,08:20:00,12:20:00
2021-10-19,20:30:00,
2021-10-20,,00:30:00
2021-10-20,08:50:00,12:50:00
2021-10-20,21:05:00,
2021-10-21,,01:05:00
2021-10-21,09:25:00,13:25:00
2021-10-21,21:40:00,
2021-10-22,,01:40:00
2021-10-22,09:55:00,13:55:00
2021-10-22,22:10:00,
2021-10-23,,02:10:00
2021-10-23,10:25:00,14:25:00
2021-10-23,22:40:00,
2021-10-24,,02:40:00
2021-10-24,10:55:00,14:55:00
2021-10-24,23:15:00,
2021-10-25,,03:15:00
2021-10-25,11:25:00,15:25:00
2021-10-25,23:50:00,
2021-10-26,,03:50:00
2021-10-26,11:55:00,15:55:00
2021-10-26,,
2021-10-27,00:25:00,04:25:00
2021-10-27,12:20:00,16:20:00
2021-10-27,,
2021-10-28,01:00:00,05:00:00
2021-10-28,13:15:00,16:15:00
2021-10-28,,
2021-10-29,02:25:00,05:25:00
2021-10-29,14:40:00,17:40:00
2021-10-29,,
2021-10-30,,
2021-10-30,04:05:00,07:05:00
2021-10-30,16:20:00,19:20:00
2021-10-31,,
2021-10-31,04:25:00,08:25:00
2021-10-31,16:35:00,20:35:00
2021-11-01,,
2021-11-01,05:45:00,09:45:00
2021-11-01,17:40:00,21:40:00
2021-11-02,,
2021-11-02,06:20:00,10:20:00
2021-11-02,18:20:00,22:20:00
2021-11-03,,
2021-11-03,06:45:00,10:45:00
2021-11-03,18:55:00,22:55:00
2021-11-04,,
2021-11-04,07:20:00,11:20:00
2021-11-04,19:30:00,23:30:00
2021-11-05,,
2021-11-05,07:55:00,11:55:00
2021-11-05,20:15:00,
2021-11-06,,00:15:00
2021-11-06,08:35:00,12:35:00
2021-11-06,20:55:00,
2021-11-07,,00:55:00
2021-11-07,09:20:00,13:20:00
2021-11-07,21:45:00,
2021-11-08,,01:45:00
2021-11-08,10:10:00,14:10:00
2021-11-08,22:40:00,
2021-11-09,,02:40:00
2021-11-09,11:00:00,15:00:00
2021-11-09,23:40:00,
2021-11-10,,03:40:00
2021-11-10,12:00:00,16:00:00
2021-11-10,,
2021-11-11,00:50:00,04:50:00
2021-11-11,13:10:00,17:10:00
2021-11-11,,
2021-11-12,02:00:00,06:00:00
2021-11-12,14:15:00,18:15:00
2021-11-12,,
2021-11-13,,
2021-11-13,03:50:00,07:50:00
2021-11-13,15:45:00,19:45:00
2021-11-14,,
2021-11-14,05:10:00,09:10:00
2021-11-14,17:10:00,21:10:00
2021-11-15,,
2021-11-15,05:50:00,09:50:00
2021-11-15,17:50:00,21:50:00
2021-11-16,,
2021-11-16,06:20:00,10:20:00
2021-11-16,18:30:00,22:30:00
2021-11-17,,
2021-11-17,06:55:00,10:55:00
2021-11-17,19:10:00,23:10:00
2021-11-18,,
2021-11-18,07:25:00,11:25:00
2021-11-18,19:45:00,23:45:00
2021-11-19,,
2021-11-19,08:00:00,12:00:00
2021-11-19,20:15:00,
2021-11-20,,00:15:00
2021-11-20,08:30:00,12:30:00
2021-11-20,20:50:00,
2021-11-21,,00:50:00
2021-11-21,09:00:00,13:00:00
2021-11-21,21:20:00,
2021-11-22,,01:20:00
2021-11-22,09:30:00,13:30:00
2021-11-22,21:55:00,
2021-11-23,,01:55:00
